,tconst,originalTitle,startYear,runtimeMinutes,genres_x,adult,overview,production_countries,production_companies_name,production_companies_country,averageRating,numVotes,directors,writers
12,tt0216890,Amazone,2000,88.0,"Adventure,Comedy,Romance",False,"On an observatory set high on a mountain, astronomers make a stunning discovery somewhere out in the galaxy. A flying object in the depths of the cosmos is showing signs of life, emitting an intelligent signal. The UFO has just landed on Earth somewhere in the midst of a rainforest. Margot, the enthusiastic young woman heading up the research team, decides to go to the spot and check out this phenomenon. Meanwhile Edouard, our hero, studies the flora and fauna of the tree tops in the rainforest. He perches on an enormous net that stretches over the still pure, unadulterated forest that spreads out beneath him. He discovers a naked little twelve-year old girl seated on the net. He covers her with a broad banana leaf and asks where she comes from. She quickly replies, in perfect French 'from another world'.",['FR'],"['TF1 Films Production', 'Les Films Alain Sarde', 'PHF Films S.L.', 'Canal+']",,4.8,520,nm0003606,"nm0003606,nm0296829"
13,tt0216911,Meilleur espoir féminin,2000,100.0,Comedy,False,"Yvon Rance, who runs a hair salon in Brittany, only wants his beloved teenaged daughter Laetita to be happy, something he believes she'll be able to achieve by completing high school and then following in her father's professional footsteps. When Laetita tells him that she has been cast in the latest movie by renowned director Stephane, he is initially unimpressed. He grudgingly relents when he learns that the money she will make for a couple months of work is twice what he makes in a year.",['FR'],"['UFD', 'UGC', 'TF1 Vidéo']",,6.1,1068,nm0432040,"nm0432040,nm0580698"
14,tt0216983,Le prof,2000,100.0,Comedy,False,"A teacher uses new methods to captivate his audience. Some kids take it too far, some colleagues are worried traditional ways are going to be lost... but eventually, everything turns out OK.",['FR'],"['France 2 Cinéma', 'Alter Films', 'Canal+']","['FR', 'FR', 'FR']",4.1,116,nm0418619,nm0418619
15,tt0217168,Ça ira mieux demain,2000,89.0,"Comedy,Drama",False,"Such an inconsequential event - the unfortunate purchase of a package of cling film - reveals the character and behavior of a small group of individuals caught up in the chaos of today's society. Though it creates arguments and inner questioning, this event - and its various consequences - also creates bonds.",['FR'],[],[],6.0,532,nm0479738,nm0479738
16,tt0225410,Le coeur à l'ouvrage,2000,97.0,"Comedy,Drama",False,"A porn film director convinces his producer to make a romantic film, but the cast is grappling with tensions in their private lives.",['FR'],['Ciné Valse'],,4.7,140,nm0244691,nm0070152
17,tt0226708,Épouse-moi,2000,90.0,"Comedy,Romance",False,"Oriane and Hadrian's couple is going through a crisis. Determined to save their marriage, Oriane visits a Gypsy fortune teller who foresees a dark future. But Oriane won't hear of anything but a happy ending and the psychic is forced to read another future which, unfortunately, also happens to end bitterly. Will the third reading satisfy the young woman?",['FR'],"['Gaumont', 'KER Productions', 'CNC', 'Canal+', 'TF1 Films Production']",,5.6,260,nm0547456,"nm0159318,nm0547456"
18,tt0228242,Drôle de Félix,2000,95.0,"Comedy,Drama,Romance",False,"A charming comedy about going on a rather long walk. Félix is a laid-back guy living in the bleak northern coastal town of Dieppe. He lives happily with his lover Daniel and is a soap opera enthusiast and HIV-positive. After losing his job, Félix decides to find the father he never knew in Marseilles. Agreeing to meet Daniel in the southern port city in a week's time, Félix throws on his backpack and starts hiking. On his way, he discovers that family need not always be connected by blood.",['FR'],"['Pyramide Productions', 'La Sofica Gimages 2', 'Les Films Pelléas', 'CNC', 'Canal+', 'ARTE France Cinéma']","['FR', '', 'FR', 'FR', 'FR', 'FR']",6.9,1843,"nm0239725,nm0553303","nm0239725,nm0553303"
19,tt0229664,Princes et princesses,2000,70.0,"Animation,Comedy,Family",False,"In this episodic animated fantasy from France, an art teacher interprets a series of six fairy tales (each involving a prince or princess) with the help of two precocious students. Princes and Princesses was created using a special style of cutout animation, with black silhouetted characters performing the action against backlit backdrops in striking colors.",['FR'],"['Les Armateurs', 'La Fabrique', 'Studio O', 'Gébéka Films', 'Salud Productions', 'CNC', 'Canal+']",,7.6,2342,nm0643664,nm0643664
20,tt0230098,La confusion des genres,2000,94.0,"Comedy,Drama,Romance",False,"Bisexual attorney Alain is bedding his female boss, his murderer client, the client's hairdresser girlfriend, and a precocious boy who knows what he wants and tries to convince Alain that he can 'have it all'.",['FR'],"['Alta Loma Films', 'CNC', 'Canal+']",,6.3,1112,nm0243666,"nm0243666,nm0489771"
21,tt0230921,Que faisaient les femmes pendant que l'homme marchait sur la lune?,2000,98.0,"Comedy,Drama",False,"A young woman tries to ease herself out of the closet without terrifying her parents in the process in this comedy-drama. The year is 1969, and Sacha (Marie Bunel) is a young Belgian woman living in Canada. Sacha's family sent her to Canada to attend medical school, but she hasn't had the heart to tell them that she's dropped out of college to devote herself to her new interest in photography. Sacha also hasn't told her parents that she's a lesbian -- and that she has a new girlfriend, Odile (Macha Grenon). Odile is tired of being kept a secret, and insists that Sacha tell her parents the truth before American astronauts land on the moon in a few months -- or else. Sacha flies home to Belgium for a visit, planning to come clean to her folks, but she discovers they've arranged a huge welcome home party for the entire neighborhood. With everyone so excited that the soon-to-be-doctor is paying them a visit, Sacha wonders when the time will be right to give her family the news.","['BE', 'CA', 'FR', 'CH']","['Rendez-Vous Production', 'RTBF', 'Les Films Vision 4', 'CAB Productions', 'Banana Films', 'TSR', 'Téléfilm Canada']",,6.5,154,nm0888720,nm0888720
22,tt0233709,La fausse suivante,2000,96.0,"Comedy,Drama",False,A young woman disguises herself as a knight to expose a gold-digging man divided between her and a Countess.,['FR'],['Dacia Films'],,6.0,249,nm0415245,nm0210114
23,tt0234663,Les savates du bon Dieu,2000,107.0,"Comedy,Crime,Drama",False,"After his wife leaves him, Fred goes on a cross-country crime spree in this dark but dreamy French comedy.",['FR'],"['Canal+', 'Euripide Productions', 'La Sorcière Rouge']",,6.4,337,nm0109885,nm0109885
24,tt0234940,Un couple épatant,2002,97.0,"Comedy,Romance",False,"A woman, concerned by her husband's eccentric behavior, hires a detective to follow his every move -- which yields unexpected results.","['FR', 'BE']",[],,6.4,1112,nm0069711,nm0069711
25,tt0235108,À l'attaque!,2000,90.0,"Comedy,Drama",False,"Two friends with very different personalities decide to write a script for a movie. Their discussions and confrontations are constant, but the story slowly takes shape around a poor family that has a small car repair business. Times are hard and will have to fight to prevent a multinational tear down the garage.",['FR'],"['Agat Films & Cie / Ex Nihilo', 'Canal+', 'Diaphana Films', 'TF1 Films Production']",,6.2,291,nm0350168,"nm0350168,nm0587271"
26,tt0236000,Aïe,2000,103.0,Comedy,False,"A chance meeting with Aie, a waitress with a strange name, will drive a 50 year old neurotic man, Robert, crazy.",['FR'],[],,5.8,267,nm0277230,nm0277230
27,tt0237106,Les gens en maillot de bain ne sont pas (forcément) superficiels,2001,95.0,"Comedy,Romance",False,"A week on St-Martin with vacationing Parisians. Camille surprises her lover Philippe, who's with his wife and children. Lonely Laurette, a secretary, hopes to meet a man. Aziz brings his enthusiastic brother Rafik because his boss had two tickets he couldn't use. Lovers Pauline and the pregnant, cranky Anita find their vacation complicated by an ex-lover of Pauline's. The playboy Jimmy is the hotel M.C., and Carla, free-spirited and sensual, coaches Laurette in the ways of seduction. She is hot and cold to these wiles, alternately attracting and putting off Aziz, hoping Jimmy will try to seduce her, and afraid he might. By week's end, with the help of Camille's diary, we'll know the outcomes.",['FR'],[],,4.7,187,nm0039903,nm0039903
28,tt0238036,André le magnifique,2000,90.0,Comedy,False,"An actor who does not suffer fools gladly finds himself replaced by one in this comedy. The citizens of a French village decide to celebrate their history by staging a play that will chronicle memorable events from the town's past. The play's author, Alexis, casts his wife Janine (Isabelle Candelier) in the leading female role despite her odd way of delivering dialogue. However, for the male lead, Alexis hires an arrogant professional actor from Paris, Jean-Pascal Faix. The village simpleton, Andre , has volunteered to serve as a stagehand and prompter. When Andre mistakenly leads Jean-Pascal into a trash dumpster that's soon dragged away, he's convinced (falsely) that he's killed the Parisian actor -- and is determined to take his place so that the show will go on.",['FR'],[],[],6.1,114,"nm0799110,nm0821539","nm0133713,nm0396385,nm0491229,nm0509876,nm0691819,nm0799110,nm0821539,nm0904273"
29,tt0239507,Les filles ne savent pas nager,2000,102.0,"Comedy,Drama",False,"Gwen is a teenager living in a small coastal town. Lise is her best friend, a city girl who comes every year with her family to spend the summer. This year things are different though; at first Lise might not come at all, and when she does it is obvious that Gwen grew up faster than she did.",['FR'],"['CNC', 'Conseil Régional de Bretagne', 'PROCIREP', 'Sépia Productions', 'YMC Productions']",,5.9,623,nm0083752,"nm0083752,nm0393394"
30,tt0239695,Nationale 7,2000,90.0,"Comedy,Drama",False,"In a nursing home for disabled near Toulon, René is unanimously hated by all. With fifty years and suffering from myopathy, has an irascible, rebellious character. But not resist provocations candor and uprightness of Julie, a special educator rookie. He confesses he wants to make love to a woman before her degenerative disease definitely catch it. Then Julie goes after one of the prostitutes who work in caravans along the N7.",['FR'],"['La Sept-Arte', 'ARTE France Cinéma', 'Télécip']",,6.9,535,nm0801533,"nm0146246,nm0801533"
31,tt0240009,Le soleil au-dessus des nuages,2001,96.0,Comedy,False,"Jean, a little embittered and insupportable office worker, is fired for his heinous behavior. Fifty, single and revanchist, he has no friends and finds himself face to face with no future. He then meets Antoine, a young magician adept at meditation. Intrigued by this strange character who responds to his aggressiveness with a resolutely optimistic vision of life, Jean decides to accompany him to La Baule. On the way, despite some unforeseen and surprising encounters, the duo will get to know each other.",['FR'],"[""Les Films d'Avalon""]",,6.5,116,nm0494569,nm0494569
32,tt0240149,Une hirondelle a fait le printemps,2001,103.0,"Comedy,Drama",False,"Sandrine, a woman in her thirties gets tired of life in Paris and decides to leave her work in computers and become a farmer. She takes the required practice for two years, and after that she buys an isolated farm from Adrien, an old farmer who decides it's time to retire. However, Adrien wants to stay a few more months before moving away from the farm, and the rough winter finds them together...",['FR'],"['StudioCanal', 'Cofimage 12', 'Artémis Productions', 'M.S. Productions', 'Mars Films', 'PROCIREP', 'Canal+', 'Nord-Ouest Films', 'Auvergne-Rhône-Alpes Cinéma']",,6.6,2384,nm0137228,"nm0137228,nm0039903"
33,tt0243135,Le battement d'ailes du papillon,2000,90.0,"Comedy,Drama,Romance",False,"How, thanks to what's known as the ""Butterfly theory"" (a random series of unlinked events), can a young woman and a young man meet?",['FR'],"['Les Films des Tournelles', 'Les Films en Hiver', 'CNC']",,6.7,3943,nm0278705,nm0278705
34,tt0243493,Le placard,2001,84.0,Comedy,False,"A man spreads the rumor of his fake homosexuality with the aid of his neighbor, to prevent his imminent firing at his work.",['FR'],"['Gaumont', 'EFVE', 'Canal+', 'TF1 Films Production', 'Miramax']","['FR', '', 'FR', 'FR', 'US']",7.0,18159,nm0891554,nm0891554
35,tt0245530,Un crime au paradis,2001,89.0,Comedy,False,"In the 1980 French countryside, farmer Jojo and his ill-tempered wife Lulu hate each other, though their respective interests speak against divorce. The only thing that keeps the oppressed Jojo from murder is the threat of the guillotine...",['FR'],"['Josy Films', 'K.J.B. Production', 'Les Films Christian Fechner', 'CNC', 'Canal+', 'France 2 Cinéma', 'Auvergne-Rhône-Alpes Cinéma']",,6.5,1981,nm0065449,"nm0347589,nm0418469,nm0065449"
36,tt0246158,Les portes de la gloire,2001,89.0,"Comedy,Drama",False,"A young man joins a team of experimented door-to-door salesmen, who teach him how to sell an expensive encyclopedia to modest homes that have no use for it.",['FR'],[],,6.3,834,nm0581170,"nm0495962,nm0581170,nm0688143"
37,tt0246278,"Oui, mais...",2001,104.0,"Comedy,Drama,Family",False,"At age 17, Eglantine is troubled by a number of things. Her argumentative parents comprise an absentee and philandering father and an overprotective, occasionally alcoholic mother. Her boyfriend Sébastien is a couple of years older; he's ready, but she isn't. Frequent furtive visits to her therapist help her to see that these issues are not 'problems', but 'difficulties', which she has the strength to overcome.",['FR'],"['Sofica Sofinergie 5', 'France 2 Cinéma', ""Le Clown et l'Enfant"", 'Les Films du Kiosque', 'Novo Arturo Films', 'Canal+', 'Auvergne-Rhône-Alpes Cinéma']",,6.5,632,nm0491774,nm0491774
38,tt0246431,Antilles sur Seine,2000,104.0,"Comedy,Crime",False,"Corruption threatens to move into a heretofore idyllic village in this comedy-drama. Hector St. Rose is the mayor of a seaside community in the Antilles Islands, a French-controlled territory in the West Indies. Hector has long been determined not to sacrifice the well-being of his constituents in order to make the village more attractive to tourists, which has made him popular with his citizens, but not so much so with outside developers.",['FR'],['CPZ Productions'],,3.8,188,nm0529591,nm0529591
39,tt0246717,Jojo la frite,2002,86.0,"Comedy,Fantasy,Romance",False,"Raph and Swan, two retarded thugs, are hanging out looking for a bad thing to do. When they steal a bag from a defenseless girl, Swan does a good deed. A halo begins to glow over his head. Determined to make it disappear, Raph and Swan try to find the dirty trick that will save them.",['FR'],[],,5.3,28,nm0190988,"nm0190988,nm1165918,nm0850309,nm0954820"
40,tt0246870,Le prince du Pacifique,2000,90.0,"Adventure,Comedy",False,French war ship is arriving to Polynesian shore during at 1918 - and adventures begin...,['FR'],[],,4.7,715,nm0006734,"nm0081329,nm0150079,nm0172303,nm0006734,nm0262238,nm0312404,nm0508293,nm1362432"
41,tt0249568,Le harem de Mme Osmane,2000,100.0,"Comedy,Drama",False,"In Algiers in 1993, while the civil war is starting, Mrs Osmane's tenants have to endure her bad temper. Her husband left her and the fear to lose her respectability haunt her.  The former member of the Resistance during the Independence War persists  in controlling the slightest moves of the households rather than struggle  against her own frustrations. Learning her daughter is in love, the possibility of finding herself alone will push her to the limit: The symbolical Mrs Osmane ""harem"" is about to collapse.","['DZ', 'FR', 'ES']","['Astoria Films', 'Bloody Mary Productions', 'Canal+ Horizons']",,5.8,131,nm0596347,nm0596347
42,tt0249935,Sans plomb,2000,88.0,"Comedy,Romance",False,"Passionate about the singer Elvis Costello, Ulysses works every Saturday at a gas station in the middle of nowhere to pay for his meteorology studies. Shy and suffering from stagnation when confronted with a conflict situation, he does not respond to the insistent advances of Marie, who lives across the street. At the same time, Anton and Mirek, two English gangsters, are combing all the gas stations in the area in search of a loot hidden in the toilets.",['FR'],"['Canal+', 'CNC', 'MACT Productions']","['FR', 'FR', 'FR']",5.6,46,nm0879406,"nm0018957,nm0879406"
43,tt0250223,Astérix & Obélix : Mission Cléopâtre,2002,107.0,"Adventure,Comedy,Family",False,"The Egyptian Queen Cleopatra bets against the Roman Emperor, Julius Caesar, that her people are still great, even if the times of the Pharaohs has long passed. She vows (against all logic) to build a new palace for Caesar within three months. Since all her architects are either busy otherwise or too conservative in style, this ambivalent honor falls to Edifis. He is to build the palace and be covered in gold or, if not, his fate is to be eaten by crocodiles. Edifis calls upon an old friend to help him out: The fabulous Druid Getafix from Gaul, who brews a fantastic potion that gives supernatural strength. In order to help and protect the old Druid, Asterix and Obelix accompany him on his journey to Egypt. When Julius Caesar gets wind of the project succeeding, he has the building site attacked by his troops in order to win the bet and not lose face. But just like the local pirates, he hasn't counted on Asterix and Obelix.","['FR', 'DE']","['Canal+', 'KC Medien', 'Katharina', 'La Petite Reine', 'Renn Productions', 'CNC', 'TF1 Films Production', 'Chez Wam']","['FR', 'DE', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']",6.7,56736,nm0149260,"nm0331453,nm0879853,nm0149260"
44,tt0250343,Du poil sous les roses,2000,85.0,Comedy,False,The discovery of sexuality through the eyes of a group of teenagers.,"['LU', 'FR']","['Samsa Film', 'PROCIREP', 'Canal+']",,5.8,373,"nm0156152,nm0643130","nm0156152,nm0643130"
45,tt0252665,Le vélo de Ghislain Lambert,2001,119.0,"Comedy,Drama,Sport",False,"In the 70s, there was Merckx and there were the others. Ghislain Lambert was one of the others. This is his story, a quite simple one. The story of a modest Belgian bike racer. His greatest ambition in life? To become a champion. His greatest tragedy? Not having the legs his heart deserves.","['BE', 'FR']","['AF Production', 'Les Productions Lazennec', 'Pioneer Entertainment', 'StudioCanal']",,6.5,2385,nm0362854,"nm0206797,nm0362854,nm0688143"
46,tt0253225,Mademoiselle,2001,85.0,"Comedy,Drama,Romance",False,"Claire is a young woman who leads a somewhat formatted life. Pierre is an improviser, but not an actor. Brief encounter, brief romance, doomed or not, who can say? When things like that happen, you act on the spur of the moment.",['FR'],"['Cofimage 12', 'Alicéléo', 'Canal+']",,6.5,845,nm0513371,"nm0183686,nm0513371,nm0802488"
47,tt0254521,Liberté-Oléron,2001,107.0,Comedy,False,39 years old Jacques Monot is tired from the same vacation he and his family have every year so he decides to buy a boat.,['FR'],"['Les Films Alain Sarde', 'Canal+', 'France 2 Cinéma', 'Why Not Productions']",,6.2,600,nm0687913,"nm0687913,nm0687914"
48,tt0256666,Ce vieux rêve qui bouge,2001,51.0,"Comedy,Drama",False,"A chronicle of queer lust set against a greasy metallic environment  of the last days of a factory that is about to shut down. Among the workers forced to idle away until the end of the week, Jacques, a young technician is busy dismantling a machine while, without noticing it, turning on some of the men around him!",['FR'],"['K Production', 'Paulo Films']",,6.7,392,nm0347492,nm0347492
49,tt0257434,Being Light,2001,96.0,Comedy,False,"Maxime, a young man of 25, arrives in Paris, but wishes to join Justine, the woman he loves, in India. At the bar of the Raphael Hotel, he meets Jack Lesterhoof, a rich businessman who offers to be his interpreter for an important meeting. Maxime accepts. The two men soon become friends. Jack decides to take a break from the routine and accompany Maxime to India.",['FR'],[],,5.3,183,"nm0000852,nm0036331","nm0036331,nm0000852"
50,tt0259060,La tour Montparnasse infernale,2001,92.0,Comedy,False,"Eric and Ramzy are working as window washers at the Montparnasse skyscraper in Paris. Thinking that he has a date set up with beautiful executive Marie-Joelle (who in reality hates his guts), Ramzy stays at work late while Eric hangs around with him. As a result, the pair witness a gang of terrorists seize the tower and take its late-night occupants (including Marie- Joelle) hostage. Knowing that only they can save the day, Eric and Ramzy swing into action.",['FR'],"['4 Mecs en Baskets', '4 Mecs à Lunettes', 'Canal+', 'France 2 Cinéma', 'UGCF']","['', 'FR', 'FR', 'FR', '']",5.7,5425,nm0625896,"nm0031867,nm0066080,nm0431956,nm0560253"
51,tt0259289,Du soleil pour les gueux,2001,55.0,"Comedy,Drama",False,"On a hot Sunday morning, Nathalie Sanchez, an unemployed hair stylist, walks across the Causses plateau in search of a shepherd. When she finds one, he tells her that he has lost his flock. They walk together and while chatting they meet several times a shepherd's son turned outlaw, Carol Izba. The latter, despite being pursued by a famous bounty killer, Pool, proves unable to leave the region...",['FR'],"['K Production', 'LMK', 'Les Films du Temps qui passe']",,7.0,166,nm0347492,nm0347492
52,tt0259340,Grégoire Moulin contre l'humanité,2001,90.0,"Comedy,Romance",False,"Grégoire Moulin, a shy accountant, sets up a blind date with a dance teacher at a bar. What he needed to do was just to cross the road. But it didn't happen to be as easy as it seems especially because of the final game of French soccer championship the very same night!",['FR'],['United International Pictures'],,6.8,1500,nm0671844,"nm0478322,nm0671844"
53,tt0260185,Mischka,2002,117.0,"Comedy,Drama,Family",False,"An old man in dressing gown and slippers is abandoned by his family on an area of highway while on vacation. He later finds himself in a hospital where a nurse, Gégène, calls him Mischka.",['FR'],['Bac Films'],,6.2,260,nm0836681,nm0836681
54,tt0260767,La brèche de Roland,2000,47.0,"Adventure,Comedy,Drama",False,Roland's Pass is a short French comedy about the internal power struggles within a bickering family of mountain climbers.,['FR'],"['Adami', 'CNC', 'DATAR', 'Elena Films', 'Thécif']",,6.4,56,"nm0488623,nm0488626",nm0488626
55,tt0262429,Gamer,2001,92.0,"Comedy,Sci-Fi",False,"Tony is crazy about video games. But he is arrested during a hold-up which failed, and he goes to prison for eight months. When he gets out, he contacts Valery, GameStar's boss, and offers her a new video game concept.",['FR'],[],,3.1,334,nm0506576,"nm0169291,nm0506576,nm0836830"
56,tt0262826,Thomas est amoureux,2000,97.0,"Comedy,Drama,Romance",False,"Thomas Thomas is agoraphobic, has a computer-generated girlfriend, and hasn't left his home in years. Can a prostitute convince him to leave cyberspace and his home for the real world?","['BE', 'FR']","['Entre Chien et Loup', 'JBA Production', 'RTBF']","['BE', 'FR', 'BE']",7.0,2035,nm0719348,nm0087646
57,tt0265116,Chaos,2001,109.0,"Comedy,Crime,Drama",False,"A bourgeois couple, modern yet conventional. One night by accident, a young prostitute barges into their lives. Hounded down, beaten up, threatened, she will continue to struggle, with the help of a well off lady, first for her survival-her resurrection-then for her dignity and freedom. Stormy encounters for everyone involved.",['FR'],[],,7.0,2461,nm0785684,nm0785684
58,tt0266013,Voyance et manigance,2001,90.0,Comedy,False,"Chantel is happy: her son's away at school playing soccer, she and her husband get along, her neighbor Agnès is her best friend, and her job at a government office is easy. When her husband is laid off and she wonders for how long, her office pal Jackie recommends Alban, a psychic (and compulsive gambler), who promptly tells Chantel of a curse on her that will take three sessions (and 10,000 FF) to dispel. Through happenstance, she meets Alban's half-brother; thinking she is following the psychic predictions, she tries to start an affair with him. She also undergoes Alban's exorcism, and soon, terrible things indeed start to happen. Is there any way out of her misery?",['FR'],"['Square Productions International (SPI)', 'TF1 Films Production', 'Canal+', 'Cofimage 12']",,4.7,173,nm0288559,nm0288559
59,tt0266849,Petites misères,2002,77.0,"Comedy,Drama",False,"Jean V., huissier de justice de quarante ans, exerce son métier avec talent mais sans faire preuve d'humanité. Il est marié à Nicole, 35 ans et consommatrice en crise. Régulièrement, Jean a recours aux services de George, débiteur chronique et personnage folklorique, qui l'aide dans ses ""petites combines"". Incidemment, George redonne à Nicole le goût d'acheter. Un jour, Jean fait la rencontre d'Eddy, un policier qui l'accompagne durant sa tournée des saisies. Mais un différent les oppose et va prendre des dimensions disproportionnées. Poussé à bout, Jean décide de monter avec George une sombre machination pour donner une leçon au flic.","['BE', 'FR', 'LU']","['ADR Productions', 'Artémis Productions', 'Samsa Film']",,5.5,135,"nm0095473,nm0104589","nm0095473,nm0104589"
60,tt0268211,Carrément à l'Ouest,2001,97.0,"Comedy,Drama",False,"In Paris, where he wields his money scams, Alex has an unexpected encounter with two girls: Fred, who’s nothing to do with his world and who he falls for straight away, and Sylvia – sweet, but lonely, Sylvia. To test Alex, Fred devises a curious game of seduction. Like a character out of a Marivaux play, she toys with setting up delightful obstacles necessary to Love’s flourishing: Sylvia must seduce Alex, and Alex, must in turn, truly desire Sylvia. But Fred gets caught in her own trap. She falls head over heels in love with Alex. However, he no longer knows who to choose, all the more so now that Sylvia is falling in love with him, too. During an eventful night of confusion and intrigue, crazy laughter and tears, our threesome come to realize that what really draws them together is an emotional bond: true love.",['FR'],[],,5.9,197,nm0230695,nm0230695
61,tt0269105,Confession d'un dragueur,2001,90.0,Comedy,False,"During the summer, Paul, provincial student, shy and bookish, went to Paris to integrate Sciences-Po, bed on a bench in the Luxembourg Gardens. One afternoon, while the eye follows a young girl he had noticed for several days, he made the acquaintance of Fab, a seducer getter, effective and apparent misogyny, which will teach him the basics drag. Starting first with a documented learning every evening in his diary, Paul soon to be questionable practices to limit crime.",['FR'],"['Flach Film', 'France 2 Cinéma', 'Canal+']",,4.7,215,nm0814719,nm0814719
